Timestamp,uid,time,eventName,target,info,state,LOG_VERSION
3/15/2022 1:42:47,OS_X-Chrome-9958373712239559,1.64728E+12,mousedown,p.w3-margin-0.w3-center,"{""which"":1,""pageX"":118,""pageY"":125}",,0.1
3/15/2022 1:42:47,OS_X-Chrome-9958373712239559,1.64728E+12,mousedown,span#openNav.w3-opennav.w3-left.w3-xlarge,"{""which"":1,""pageX"":74,""pageY"":123}",,0.1
3/15/2022 1:43:05,OS_X-Chrome-9958373712239559,1.64728E+12,mousedown,p.w3-margin,"{""which"":1,""pageX"":373,""pageY"":382}",,0.1
3/15/2022 1:43:07,OS_X-Chrome-9958373712239559,1.64728E+12,mousedown,a.w3-closenav.w3-text-white.w3-pink.w3-large,"{""which"":1,""pageX"":226,""pageY"":22}",,0.1
3/15/2022 1:43:07,OS_X-Chrome-9958373712239559,1.64728E+12,mousedown,span#openNav.w3-opennav.w3-left.w3-xlarge,"{""which"":1,""pageX"":75,""pageY"":126}",,0.1
3/15/2022 1:43:09,OS_X-Chrome-9958373712239559,1.64728E+12,mousedown,a.w3-closenav.w3-text-white.w3-pink.w3-large,"{""which"":1,""pageX"":222,""pageY"":19}",,0.1
3/15/2022 1:43:10,OS_X-Chrome-9958373712239559,1.64728E+12,mousedown,span#openNav.w3-opennav.w3-left.w3-xlarge,"{""which"":1,""pageX"":73,""pageY"":126}",,0.1
3/15/2022 1:43:12,OS_X-Chrome-9958373712239559,1.64728E+12,mousedown,a.w3-closenav.w3-text-white.w3-pink.w3-large,"{""which"":1,""pageX"":228,""pageY"":20}",,0.1
3/15/2022 1:43:21,OS_X-Chrome-9958373712239559,1.64728E+12,mousedown,span#openNav.w3-opennav.w3-left.w3-xlarge,"{""which"":1,""pageX"":73,""pageY"":116}",,0.1
3/15/2022 1:44:27,OS_X-Chrome-9958373712239559,1.64728E+12,onLoadEvent,[object HTMLDocument],"{""eventName"":""windowLoaded"",""info"":{""input"":null,""unique_id"":null,""interface"":""old""}}",,0.1
3/15/2022 1:44:48,OS_X-Chrome-9958373712239559,1.64728E+12,onLoadEvent,[object HTMLDocument],"{""eventName"":""windowLoaded"",""info"":{""input"":null,""unique_id"":null,""interface"":""old""}}",,0.1
3/15/2022 1:45:05,OS_X-Chrome-9958373712239559,1.64728E+12,mousedown,span#openNav.w3-opennav.w3-left.w3-xlarge,"{""which"":1,""pageX"":71,""pageY"":121}",,0.1
3/15/2022 1:45:35,OS_X-Chrome-9958373712239559,1.64728E+12,onLoadEvent,[object HTMLDocument],"{""eventName"":""windowLoaded"",""info"":{""input"":null,""unique_id"":null,""interface"":""old""}}",,0.1
